accuracy,error_reason,error_type,expected,f1,forbidden_sql_command,iou,not_sql_format,output,precision,recall,reward
0.0,no such column: T2.Host_city_ID,<class 'sqlite3.OperationalError'>,SELECT T2.Theme FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID WHERE T1.Population  >  1000,0.0,False,0.0,False,"('SELECT T1.Theme FROM farm_competition AS T1 JOIN city AS T2 ON T1.Host_city_ID = T2.Host_city_ID WHERE T2.Population > 1000',)",0.0,0.0,-3.0
0.4,,,SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) ASC,0.5714285714285715,False,0.4,False,"('SELECT Status FROM city ORDER BY Population ASC',)",0.4,1.0,3.7142857142857144
0.0,misuse of aggregate: COUNT(),<class 'sqlite3.OperationalError'>,SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) ASC,0.0,False,0.0,False,"('SELECT DISTINCT Status FROM city ORDER BY COUNT(*) DESC',)",0.0,0.0,-53.0
0.0,,,SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) ASC,0.0,False,0.0,False,"('SELECT Status, COUNT(*) FROM city GROUP BY Status',)",0.0,0.0,-3.0
0.0,misuse of aggregate: COUNT(),<class 'sqlite3.OperationalError'>,SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) ASC,0.0,False,0.0,False,"('SELECT DISTINCT Status FROM city ORDER BY COUNT(*) ASC',)",0.0,0.0,-51.0
0.0,no such column: frequency,<class 'sqlite3.OperationalError'>,SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) ASC,0.0,False,0.0,False,"('SELECT DISTINCT Status FROM city ORDER BY frequency',)",0.0,0.0,-7.0
0.4,,,SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) ASC,0.5714285714285715,False,0.4,False,"('SELECT Status FROM city ORDER BY Population ASC',)",0.4,1.0,3.7142857142857144
0.4,,,SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) ASC,0.5714285714285715,False,0.4,False,"('SELECT Status FROM city ORDER BY Status ASC',)",0.4,1.0,3.7142857142857144
0.0,misuse of aggregate: COUNT(),<class 'sqlite3.OperationalError'>,SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) ASC,0.0,False,0.0,False,"('SELECT Status FROM city ORDER BY COUNT(*) ASC',)",0.0,0.0,-51.0
0.0,misuse of aggregate: COUNT(),<class 'sqlite3.OperationalError'>,SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) ASC,0.0,False,0.0,False,"('SELECT Status FROM city ORDER BY COUNT(*) ASC',)",0.0,0.0,-51.0
0.0,misuse of aggregate: COUNT(),<class 'sqlite3.OperationalError'>,SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) ASC,0.0,False,0.0,False,"('SELECT Status FROM city ORDER BY COUNT(*) ASC',)",0.0,0.0,-51.0
0.4,,,SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) ASC,0.5714285714285715,False,0.4,False,"('SELECT Status FROM city ORDER BY Status ASC',)",0.4,1.0,3.7142857142857144
1.0,,,SELECT Hosts FROM farm_competition WHERE Theme !=  'Aliens',1.0,False,1.0,False,"('SELECT Hosts FROM farm_competition WHERE Theme != ""Aliens""',)",1.0,1.0,10.0
0.0,,,SELECT T2.Theme FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID WHERE T1.Population  >  1000,0.0,False,0.0,False,"('SELECT T2.Theme FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID = T2.Hosts WHERE T1.Population > 1000',)",0.0,0.0,0.0
0.0,no such column: T1.City_ID,<class 'sqlite3.OperationalError'>,SELECT T2.Theme FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID WHERE T1.Population  >  1000,0.0,False,0.0,False,"('SELECT T1.Theme FROM farm_competition AS T1 JOIN city AS T2 ON T1.City_ID = T2.Host_city_ID WHERE T2.Population > 1000',)",0.0,0.0,-3.0
0.0,no such table: competition_competition,<class 'sqlite3.OperationalError'>,SELECT T2.Theme FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID WHERE T1.Population  >  1000,0.0,False,0.0,False,"('SELECT T1.Theme FROM competition_competition AS T1 JOIN city AS T2 ON T1.city_id = T2.host_city WHERE T2.Population > 1000',)",0.0,0.0,-50.0
0.0,no such column: T1.City_ID,<class 'sqlite3.OperationalError'>,SELECT T2.Theme FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID WHERE T1.Population  >  1000,0.0,False,0.0,False,"('SELECT DISTINCT T1.Theme FROM farm_competition AS T1 JOIN city AS T2 ON T1.City_ID = T2.Host_city WHERE T2.Population > 1000',)",0.0,0.0,-4.0
1.0,,,SELECT T2.Theme FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID WHERE T1.Population  >  1000,1.0,False,1.0,False,"('SELECT T2.Theme FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_ID WHERE T1.Population > 1000',)",1.0,1.0,10.0
0.0,no such table: HOST_city_city,<class 'sqlite3.OperationalError'>,SELECT T2.Theme FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID WHERE T1.Population  >  1000,0.0,False,0.0,False,"('SELECT T1.theme FROM farm_competition AS T1 JOIN HOST_city_city ON T1.host_city_id = T2.host_city_id WHERE T1.population > 1000',)",0.0,0.0,-51.0
0.0,no such table: competition,<class 'sqlite3.OperationalError'>,SELECT T2.Theme FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID WHERE T1.Population  >  1000,0.0,False,0.0,False,"('SELECT T1.Theme FROM competition AS T1 JOIN city AS T2 ON T1.Competition_ID = T2.Host_city_ID WHERE T2.Population > 1000',)",0.0,0.0,-50.0
0.0,no such column: T2.Theme,<class 'sqlite3.OperationalError'>,SELECT T2.Theme FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID WHERE T1.Population  >  1000,0.0,False,0.0,False,"('SELECT T2.Theme FROM farm_competition AS T1 JOIN city AS T2 ON T1.City_ID = T2.Host_city_ID WHERE T2.Population > 1000',)",0.0,0.0,-3.0
0.0,no such column: T3.Theme,<class 'sqlite3.OperationalError'>,SELECT T2.Theme FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID WHERE T1.Population  >  1000,0.0,False,0.0,False,"('SELECT T3.Theme FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_ID WHERE T1.Population > 1000',)",0.0,0.0,-3.0
1.0,,,SELECT T2.Theme FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID WHERE T1.Population  >  1000,1.0,False,1.0,False,"('SELECT T2.Theme FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_id WHERE T1.Population > 1000',)",1.0,1.0,10.0
0.0,,,SELECT creation FROM department GROUP BY creation ORDER BY count(*) DESC LIMIT 1,0.0,False,0.0,False,"('SELECT name FROM department WHERE creation = ""yes"" GROUP BY creation ORDER BY count(*) DESC LIMIT 1',)",0.0,0.0,-1.0
0.0,no such column: YEAR,<class 'sqlite3.OperationalError'>,SELECT creation FROM department GROUP BY creation ORDER BY count(*) DESC LIMIT 1,0.0,False,0.0,False,"('SELECT YEAR FROM department GROUP BY YEAR ORDER BY COUNT(*) DESC LIMIT 1',)",0.0,0.0,-5.0
1.0,,,SELECT creation FROM department GROUP BY creation ORDER BY count(*) DESC LIMIT 1,1.0,False,1.0,False,"('SELECT creation FROM department GROUP BY creation ORDER BY count(*) DESC LIMIT 1',)",1.0,1.0,10.0
0.0,no such column: T2.Total_Horses,<class 'sqlite3.OperationalError'>,SELECT Total_Horses FROM farm ORDER BY Total_Horses ASC,0.0,False,0.0,False,"('SELECT sum(T2.Total_Horses) FROM farm AS T1 JOIN city AS T2 ON T1.city_id = T2.Farm_ID ORDER BY T1.city_id',)",0.0,0.0,-8.0
1.0,,,SELECT Theme FROM farm_competition ORDER BY YEAR ASC,1.0,False,1.0,False,"('SELECT Theme FROM farm_competition ORDER BY YEAR ASC',)",1.0,1.0,10.0
